area_type,availability,location,society,bhk,sqft,bath,balcony,price
Built-up  Area,Ready To Move,Tumkur Road,,5,4800,5,2,150
Built-up  Area,Ready To Move,Chikka Tirupathi,Theanmp,5,3356,5,2,105
Built-up  Area,Ready To Move,Sarjapur,,4,1917,3,0,60
Built-up  Area,Ready To Move,Bannerghatta Road,AMaveon,3,1465,2,1,45.87
Built-up  Area,Ready To Move,Sonnenahalli,Laiteya,3,1340,2,3,42
Built-up  Area,Ready To Move,Whitefield,JahanSa,3,1435,3,2,45
Super built-up  Area,Ready To Move,Balaji Gardens Layout,GSnts A,2,1051,2,1,33
Super built-up  Area,18-May,Horamavu Agara,,2,1213,2,2,38.1
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,,3,1464,3,2,46
Super built-up  Area,Ready To Move,Sarjapur,,3,1525,2,2,48
Built-up  Area,Ready To Move,Mallasandra,Shbhi S,4,1810,3,2,57
Super built-up  Area,18-May,Maithri Layout,,2,1290,2,3,40.63
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1615,3,2,50.87
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,36.54
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,36.54
Super built-up  Area,Ready To Move,Begur Road,,2,1200,2,2,37.8
Super built-up  Area,Ready To Move,Begur Road,,2,1240,2,2,39.06
Super built-up  Area,Ready To Move,Begur Road,,2,1260,2,1,39.69
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1500,2,3,47.25
Super built-up  Area,17-Oct,Banashankari Stage V,Naiewre,3,1540,3,2,48.51
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1565,2,2,49.3
Super built-up  Area,18-May,Banashankari Stage V,Naiewre,3,1650,3,2,51.98
Super built-up  Area,17-Apr,Banashankari Stage V,Naiewre,3,1630,3,2,51.35
Super built-up  Area,17-Oct,Banashankari Stage V,Naiewre,3,1510,3,3,47.57
Super built-up  Area,Ready To Move,Banashankari Stage V,Naiewre,3,1510,3,3,47.57
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1410,2,3,44.42
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1410,2,3,44.42
Built-up  Area,Ready To Move,Devara Jeevanahalli,,3,1650,3,0,52
Built-up  Area,Ready To Move,Canara Bank Colony,Kiagar ,3,1650,2,1,52
Super built-up  Area,18-Apr,Kothannur,,2,1085,2,2,34.2
Super built-up  Area,Ready To Move,Yelahanka,DStus S,2,1050,2,2,33.1
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1140,2,1,36
Super built-up  Area,Ready To Move,Malleshpalya,Saestde,3,1900,3,2,60
Super built-up  Area,18-Apr,Mangammanapalya,,3,1250,3,2,39.5
Super built-up  Area,18-Apr,Madiwala,,3,1250,3,2,39.5
Super built-up  Area,18-Apr,Maruthi HBCS Layout,,3,1250,3,3,39.5
Super built-up  Area,18-May,Maruthi Nagar,,3,1250,3,1,39.5
Super built-up  Area,18-Apr,Thirumenahalli,MNtha A,2,1161,2,2,36.69
Super built-up  Area,18-Apr,Thirumenahalli,MNtha A,2,1161,2,3,36.69
Built-up  Area,Ready To Move,Daadys Gaarden Layout,InockHo,3,1740,3,2,55
Super built-up  Area,18-Jan,KR Puram,,3,1455,3,2,46
Super built-up  Area,Ready To Move,Asthagrama Layout,,2,1200,2,2,38
Super built-up  Area,18-Apr,Electronic City,Sie 2is,3,1105,2,1,35
Built-up  Area,Ready To Move,Hoskote,Corus C,2,1065,2,3,33.75
Super built-up  Area,Ready To Move,Babusapalaya,ARngsd ,3,1358,2,1,43.1
Super built-up  Area,Ready To Move,Chandapura,Siissi ,3,1323,2,1,42
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1109,2,1,35.22
Plot  Area,Ready To Move,Banashankari Stage VI,,4,2800,4,2,89
Super built-up  Area,Ready To Move,8th Phase JP Nagar,,2,1100,2,3,35
Super built-up  Area,18-Jun,8th Phase JP Nagar,,2,1100,2,2,35
Super built-up  Area,Ready To Move,Varthur,MKllei ,3,1665,3,1,53
Super built-up  Area,Ready To Move,Ananth Nagar,Patri M,3,1319,3,1,42
Super built-up  Area,Ready To Move,Volagerekallahalli,,2,1067,2,3,33.99
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1130,2,1,36
Super built-up  Area,Ready To Move, Devarachikkanahalli,Ladenea,2,1130,2,2,36
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1130,2,1,36
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1255,2,2,40
Super built-up  Area,Ready To Move,Whitefield,SMuilan,3,1452,2,2,46.29
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1187,2,1,37.85
Super built-up  Area,Ready To Move,Babusapalaya,ARngsd ,2,1061,2,1,33.84
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1254,2,2,40
Super built-up  Area,Ready To Move,Gottigere,MBireap,2,1410,2,2,45
Super built-up  Area,Ready To Move,P&T Layout,,2,1206,2,3,38.5
Super built-up  Area,Ready To Move,Babusapalaya,ARngsd ,3,1358,2,1,43.4
Super built-up  Area,Ready To Move,Whitefield,Rabow R,2,1095,2,1,35
Super built-up  Area,Ready To Move,P&T Layout,,2,1242,2,3,39.7
Super built-up  Area,Ready To Move,Horamavu Agara,Suise S,2,1220,2,2,39
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,Soe 2as,2,1126,2,1,36
Super built-up  Area,Ready To Move,Rachenahalli,,2,1204,2,3,38.5
Super built-up  Area,Ready To Move,Whitefield,SMuilan,3,1451,2,2,46.4
Super built-up  Area,18-May,Horamavu Agara,,2,1166,2,1,37.29
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1109,2,1,35.47
Super built-up  Area,Ready To Move,Kengeri,,3,1188,2,2,38
Super built-up  Area,18-May,Horamavu Agara,,3,1453,2,1,46.48
Super built-up  Area,Ready To Move,Varthur,Hirio L,2,1091,2,1,34.9
Super built-up  Area,18-May,Horamavu Agara,,3,1176,2,1,37.62
Super built-up  Area,Ready To Move,Gubbalala,,2,1008,2,2,32.25
Super built-up  Area,Ready To Move,Thirumalashettyhally,Srcha S,2,1077,2,1,34.46
Super built-up  Area,18-Sep,Talaghattapura,,3,1257,2,2,40.22
Super built-up  Area,Ready To Move,Talaghattapura,,3,1372,2,1,43.9
Super built-up  Area,Ready To Move,Talaghattapura,,2,1040,2,1,33.28
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1105,2,1,35.36
Super built-up  Area,Ready To Move,Shakthi Nagar,,2,1125,2,2,36
Super built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,2,1150,2,0,36.8
Super built-up  Area,Ready To Move,Kasavanhalli,,3,1200,2,3,38.4
Super built-up  Area,18-May,Akshaya Nagar,,3,1250,3,2,40
Super built-up  Area,18-May,New Gurappana Palya,,3,1250,3,2,40
Super built-up  Area,Ready To Move,Yelahanka,,2,1250,2,2,40
Super built-up  Area,Ready To Move, Devarachikkanahalli,Clntsrt,2,1250,2,2,40
Super built-up  Area,18-May,Anugrah Layout,,3,1250,3,3,40
Super built-up  Area,18-May,Tavarekere,,3,1250,3,2,40
Super built-up  Area,Ready To Move,Kasavanhalli,,3,1260,2,3,40.32
Super built-up  Area,18-Mar,Rajarajesheari nagar,,2,1400,2,1,44.8
Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,,3,1410,2,2,45.12
Super built-up  Area,18-Mar,Raja Rajashweri Nagar,,3,1410,2,2,45.12
Super built-up  Area,18-Mar,Rajarajeshwari Nagara,,3,1410,2,2,45.12
Super built-up  Area,18-Mar,Rajarajeshwari nagar,,3,1410,2,2,45.12
Built-up  Area,Ready To Move,Whitefield,,3,1550,2,2,49.6
Super built-up  Area,Ready To Move,Begur Road,Nihtsur,2,1334,2,3,42.69
Super built-up  Area,Ready To Move,Gubbalala,,3,1223,3,2,39.14
Super built-up  Area,18-Apr,Bellandur,,3,1400,2,2,44.81
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1187,2,1,38
Super built-up  Area,Ready To Move,Rachenahalli,,2,1224,2,3,39.2
Super built-up  Area,18-Jun,JP Nagar,,2,1060,2,2,33.95
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1105,2,1,35.4
Super built-up  Area,Ready To Move,Babusapalaya,ARngsd ,2,1061,2,1,34
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1123,2,1,36
Super built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,3,1270,2,0,40.72
Super built-up  Area,Ready To Move,Sanne Amanikere,Hoxiaa ,2,1185,2,,38
Super built-up  Area,Ready To Move,Kodichikkanahalli,Niiewin,2,1060,2,1,34
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1215,2,2,39
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1115,2,1,35.8
Super built-up  Area,Ready To Move,Rachenahalli,,2,1167,2,2,37.5
Super built-up  Area,18-Jun,Kothannur,,3,1240,2,2,39.85
Built-up  Area,Ready To Move,Electronic City,PronsEn,2,1090,2,2,35.03
Super built-up  Area,Ready To Move,KR Puram,Sryam N,2,1120,2,2,36
Super built-up  Area,Ready To Move,Dodda Banaswadi,,2,1120,2,3,36
Built-up  Area,Ready To Move,Bommasandra,Niara S,3,1400,2,3,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,,2,1400,2,2,45
Super built-up  Area,18-May,Gunjur Palya,,3,1400,3,2,45
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1104,2,1,35.5
Super built-up  Area,18-Jun,9th Phase JP Nagar,,3,1240,2,2,39.89
Super built-up  Area,Ready To Move,Hosakerehalli,,5,4500,5,2,145
Super built-up  Area,Ready To Move,Sonnenahalli,AdtusAn,3,1550,3,1,50
Super built-up  Area,Ready To Move,Doddathoguru,,3,1300,2,1,42
Super built-up  Area,18-Jun,JP Nagar,,3,1275,3,2,41.2
Super built-up  Area,Ready To Move,Channasandra,,2,1175,2,2,38
Built-up  Area,Ready To Move,Byrathi Village,,4,1700,3,2,55
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1205,2,1,39
Built-up  Area,Ready To Move,Kadugodi,,2,1050,2,1,34
Built-up  Area,Ready To Move,Kadugodi,,2,1050,2,1,34
Super built-up  Area,Ready To Move,Seegehalli,,3,1420,2,2,46
Built-up  Area,Ready To Move,Abbigere,,6,2500,6,0,81
Super built-up  Area,18-Jun,8th Phase JP Nagar,,2,1080,2,2,35
Super built-up  Area,Ready To Move,Uttarahalli,Laihai ,3,1540,3,0,50
Super built-up  Area,Ready To Move,Whitefield,DuenaTa,2,1170,2,1,38
Super built-up  Area,Ready To Move,Whitefield,DuenaTa,2,1170,2,1,38
Super built-up  Area,Ready To Move,Horamavu Agara,,2,1170,2,,38
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,,2,1200,2,2,39
Super built-up  Area,Ready To Move,Canara Bank Colony,,3,1300,3,2,42.25
Super built-up  Area,Ready To Move,Suraksha Nagar,AritaFe,3,1600,3,2,52
Built-up  Area,Ready To Move,Chikkabanavar,,5,2000,4,0,65
Built-up  Area,Ready To Move,Electronic City,,3,2400,2,,78
Super built-up  Area,Ready To Move,Kadugodi,,7,4000,7,2,130
Super built-up  Area,Ready To Move,Srinivasa Nagar,,5,4000,3,0,130
Built-up  Area,Ready To Move,Chikkabanavar,,4,2460,7,2,80
Plot  Area,Ready To Move,Adityanagar,,1,1260,1,1,41
Plot  Area,Ready To Move,Adityanagar,,1,1260,1,0,41
Super built-up  Area,Ready To Move,Byrasandra,ViisePa,3,1690,2,2,55
Super built-up  Area,18-Jun,8th Phase JP Nagar,,3,1275,2,2,41.5
Super built-up  Area,Ready To Move,Pai Layout,,2,1075,2,2,35
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,3,1075,2,1,35
Super built-up  Area,Ready To Move,Neeladri Nagar,AdingSV,3,1167,2,1,38
Super built-up  Area,Ready To Move,Sarjapur,Peles P,2,1044,2,2,34
Super built-up  Area,18-Jan,8th Phase JP Nagar,,2,1059,2,2,34.5
Super built-up  Area,18-Apr,Begur,Arera V,3,1445,2,2,47.1
Built-up  Area,Ready To Move,Medahalli,,9,4600,9,,150
Super built-up  Area,Ready To Move,Hoskote,Deiveer,3,1225,3,1,40
Super built-up  Area,Ready To Move,Gottigere,Srtusi ,2,1110,2,2,36.25
Super built-up  Area,Ready To Move,Sarjapur  Road,DSlesSp,3,1347,2,1,44
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,2,1240,2,2,40.54
Built-up  Area,Ready To Move,Raghuvanahalli,Srncykh,2,1070,2,1,35
Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,4,3056,5,,100
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1100,2,1,36
Super built-up  Area,Ready To Move,Kuvempu Nagar,,2,1375,2,1,45
Super built-up  Area,Ready To Move,Kanakapura,,2,1190,2,2,39
Super built-up  Area,Ready To Move,Electronic City,Itvir M,3,1159,2,3,38
Super built-up  Area,18-May,Bommanahalli,,3,1250,3,2,41
Carpet  Area,Ready To Move,Kereguddadahalli,Jaood G,3,1280,3,1,42
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,,2,1219,2,2,40
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1188,2,1,39
Super built-up  Area,18-Jun,8th Phase JP Nagar,,2,1125,2,2,36.94
Super built-up  Area,19-Jun,Jalahalli,DSata S,2,1057,2,1,34.71
Built-up  Area,Ready To Move,Kattigenahalli,,6,3500,6,,115
Super built-up  Area,Ready To Move,Medahalli,Sancya ,2,1552,2,1,51
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1065,2,1,35
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1215,2,2,40
Built-up  Area,Ready To Move,Sarjapur,Coa It ,2,1215,2,0,40
Super built-up  Area,Ready To Move,Dommasandra,,2,999,2,2,32.9
Super built-up  Area,Ready To Move,Gottigere,Apentir,3,1425,2,2,47
Super built-up  Area,Ready To Move,Mico Layout,Amsomun,2,1190,2,2,39.25
Super built-up  Area,18-Mar,Naganathapura,,2,1001,2,2,33.03
Super built-up  Area,Ready To Move,Varthur,DSingSt,2,1738,2,1,57.35
Super built-up  Area,Ready To Move,Varthur,DSingSt,3,1737,2,1,57.32
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,3,2047,3,2,67.55
Super built-up  Area,Ready To Move,Kalena Agrahara,ARomee ,2,1000,2,2,33
Built-up  Area,Ready To Move,Attibele,Natic T,4,1600,4,0,52.8
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,3,1976,3,3,65.21
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,3,1866,2,2,61.58
Super built-up  Area,18-Dec,Hennur Road,DSeldpr,2,1052,2,1,34.72
Super built-up  Area,Ready To Move,Doddathoguru,Vayali ,2,1015,2,2,33.5
Super built-up  Area,18-Oct,Hennur Road,DSapeSk,3,2182,3,2,72.04
Super built-up  Area,Ready To Move,Neeladri Nagar,,2,1060,2,0,35
Super built-up  Area,Ready To Move,Whitefield,Rabow R,2,1060,2,1,35
Built-up  Area,Ready To Move,NRI Layout,,2,1060,2,2,35
Built-up  Area,Ready To Move,Nagadevanahalli,,2,1090,2,1,36
Super built-up  Area,Ready To Move,Electronic City,Music C,2,1150,2,1,38
Super built-up  Area,21-Aug,Electronic City,,2,1150,2,1,38
Super built-up  Area,Ready To Move,Hongasandra,Srrtsu ,2,1180,2,1,39
Super built-up  Area,Ready To Move,Channasandra Layout,,2,1210,2,2,40
Built-up  Area,Ready To Move,Kereguddadahalli,Jaood G,3,1240,3,2,41
Super built-up  Area,18-Aug,Whitefield,SSdhimr,2,1240,2,2,41
Built-up  Area,Ready To Move,Doddakallasandra,,2,1270,2,2,42
Super built-up  Area,Ready To Move,Electronics City Phase 1,,3,1330,2,2,44
Built-up  Area,Ready To Move,Margondanahalli,,4,1360,2,2,45
Built-up  Area,Ready To Move,Ramamurthy Nagar,Amazaa ,2,1360,2,0,45
Super built-up  Area,Ready To Move,Sompura,,3,1360,2,3,45
Super built-up  Area,Ready To Move,Kammasandra,Sulya A,2,1057,2,1,35
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,2,1150,2,1,38.08
Super built-up  Area,21-Aug,Electronics City Phase 1,,3,1750,3,2,58
Built-up  Area,21-Dec,"Electronic city Phase 1, ",,3,1750,3,2,58
Super built-up  Area,Ready To Move,Electronic City Phase II,MJtroty,2,1116,2,2,37
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,2,1146,2,1,38
Built-up  Area,Ready To Move,Hormavu,,2,1206,2,,40
Super built-up  Area,19-Oct,Panathur,Caiya D,2,1085,2,1,36
Built-up  Area,Ready To Move,Naganathapura,,1,1200,1,0,39.82
Super built-up  Area,20-Dec,Whitefield,Somns T,3,1235,3,0,40.985
Super built-up  Area,18-Aug,Whitefield,SSdhimr,2,1175,2,1,39
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1205,2,1,40
Super built-up  Area,Ready To Move,Whitefield,SSthamh,2,1205,2,1,40
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,DScon S,3,1625,2,2,54
Super built-up  Area,Ready To Move,Channasandra Layout,Aconyit,3,1563,2,2,52
Super built-up  Area,Ready To Move,Suraksha Nagar,AritaFe,3,1563,3,2,52
Super built-up  Area,Ready To Move,Electronic City Phase II,Rie 2ri,3,1502,3,3,50
Super built-up  Area,19-Jun,Sarjapur  Road,,2,1044,2,1,34.77
Super built-up  Area,16-Nov,Mico Layout,Prs 2hi,2,1171,2,2,39
Super built-up  Area,Ready To Move,Channasandra,Unm 2El,2,1050,2,1,35
Built-up  Area,Ready To Move,Kanakpura Road,,2,1050,2,1,35
Super built-up  Area,18-Mar,9th Phase JP Nagar,,2,1050,2,2,35
Super built-up  Area,18-Apr,Konanakunte Cross,,2,1050,2,2,35
Plot  Area,Ready To Move,Mahalakshmi Layout,,4,1050,1,0,35
Super built-up  Area,Ready To Move,Gollahalli,Meines ,2,1170,2,1,39
Super built-up  Area,Ready To Move,Kaggadasapura,,2,1200,2,2,40
Built-up  Area,Ready To Move,Munnekollal,,2,1200,2,2,40
Built-up  Area,Ready To Move,Kalena Agrahara,Nae 2El,2,1200,2,1,40
Super built-up  Area,Ready To Move,Bommanahalli,,2,1200,2,2,40
Super built-up  Area,Ready To Move,Gottigere,,2,1200,2,3,40
Plot  Area,Ready To Move,Shingapura,,1,1350,2,0,45
Super built-up  Area,Ready To Move,Hormavu,Hedosme,2,1350,2,2,45
Built-up  Area,21-Dec,"Electronic City Phase 1, ",,3,1500,3,2,50
Super built-up  Area,Ready To Move,Bagalur,,2,1500,2,1,50
Built-up  Area,Ready To Move,Kundalahalli,,3,1500,3,2,50
Built-up  Area,Ready To Move,Channasandra,,3,1800,3,2,60
Plot  Area,Ready To Move,Samethanahalli,,3,2100,3,0,70
Super built-up  Area,Ready To Move,Basavanagara,,3,2400,2,0,80
Plot  Area,Ready To Move,Horamavu Agara,,5,2400,3,3,80
Plot  Area,Ready To Move,Tavarekere,,4,2700,3,2,90
Super built-up  Area,Ready To Move,Wajid layout thanisandra,,4,3000,5,2,100
Built-up  Area,Ready To Move,Hormavu,,4,3000,4,0,100
Super built-up  Area,Ready To Move,Uttarahalli,PoetyHo,6,3600,6,2,120
Built-up  Area,Ready To Move,Uttarahalli,,4,4500,4,0,150
Plot  Area,16-Dec,Chikka Tirupathi,Theanmp,4,4500,5,3,150
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,2,2105,2,1,70.2
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,,3,1555,3,3,52
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,3,1075,2,1,35.99
Built-up  Area,Ready To Move,Bisuvanahalli,Prityel,3,1075,2,1,36
